C1	51.21	19.00	270.00
C10	48.87	35.36	90.00
C2	54.94	22.29	180.00
C3	75.59	8.13	180.00
C4	76.81	30.48	180.00
C5	61.77	28.35	90.00
C6	54.90	24.59	180.00
C7	75.59	11.38	0.00
C8	76.81	33.73	0.00	
C9	36.27	38.00	90.00
IC1	57.15	30.48	90.00
IC2	74.93	17.78	0.00
IC3	74.93	39.37	0.00
IC4	54.98	19.01	270.00
IC5	41.55	27.64	270.00
L1	75.59	9.75	0.00
L2	76.81	32.11	0.00
R1	69.85	7.62	180.00
R10	85.09	30.48	90.00
R11	81.48	43.18	0.00
R12	85.09	39.37	90.00
R13	85.09	46.99	270.00
R14	78.74	46.99	0.00
R15	73.66	46.94	270.00
R16	68.58	46.99	0.00
R17	43.48	43.18	0.00
R18	43.48	39.37	0.00
R19	49.94	39.37	180.00
R2	71.12	11.43	0.00
R20	49.94	43.18	180.00
R3	81.28	11.43	90.00
R4	79.40	5.99	90.00
R5	82.55	16.51	0.00
R6	85.09	8.89	90.00
R7	81.28	24.13	180.00
R8	85.09	21.59	90.00
R9	81.28	34.29	180.00
